time (min),fem1,fem2,fem3,fem4,fem5,fem6,fem7,fem8,fem9,fem10,fem11,fem12,fem13,fem14
1465,4467.643065959167,4049.945611466263,4029.5754950614482,4397.374553834832,4857.702963859053,4678.998510301922,4649.42737155524,4439.890845965567,3901.9733820151787,3958.298697549529,3971.729387202012,3813.2164314617917,3927.4270639957713,4033.5356367281
1466,4460.411562764274,4043.34085987582,4022.822563368056,4390.224169839302,4851.199547440239,4670.993914650274,4642.149456625849,4433.14090826629,3895.497463730337,3950.887812057782,3965.0253430676757,3806.3674003699125,3921.1121689927477,4026.5707933682984
1467,4453.731882783719,4036.8488535291226,4016.521046857114,4382.719162210887,4845.205387400969,4664.392062148637,4634.92381285676,4427.275325424498,3888.9311632134613,3945.1751665407132,3958.618905536958,3799.206739810656,3915.1925606842806,4019.9284903884645
1468,4447.482780897655,4030.483734621637,4010.295560360112,4375.312802505951,4838.483916801237,4658.021864559069,4627.884956559145,4420.540133647065,3882.1850500014234,3938.2090624501243,3951.888170260821,3792.478913411425,3909.170415401674,4013.6314816710665
1469,4441.104169665941,4024.150593423371,4004.0860230965636,4368.854829769644,4831.243078715177,4651.550039854195,4621.626539505974,4413.687779340636,3875.8756655774587,3934.2891761331857,3945.592837042781,3786.6261195253323,3903.363532965896,4008.024527198842
1470,4434.335509428074,4017.5815255961493,3997.8929436552357,4362.427821370658,4823.5156546606,4643.970690409225,4615.105481796729,4407.3465809346135,3870.1450120657787,3928.368307422608,3939.3425661432257,3781.1237550629808,3897.5086071079963,4001.9514672218893
1471,4427.103094705035,4010.9535913613863,3991.092517344015,4355.517108845727,4816.182793872211,4635.763479168943,4607.998117082109,4401.163744651862,3864.2177741653118,3920.083635126094,3932.960771150298,3774.8435809122366,3890.791555541758,3994.983900410388
1472,4420.445998438136,4005.113468670102,3984.5977082631866,4348.59588741517,4810.072107501881,4628.514885284902,4600.481740460991,4394.905155760936,3858.1950571331245,3913.593522622529,3926.6510512173086,3767.9988175810213,3885.1739086800794,3988.3987406581373
1473,4413.854681520722,3998.8136957530523,3978.3109596097424,4341.416056980126,4804.074236808487,4622.040087649463,4593.264209112998,4388.534648703995,3851.838511798163,3908.3758598147365,3920.181592040101,3760.9886702404688,3879.566358214734,3981.8320740870977
1474,4407.246212102833,3991.9382066211297,3971.902937154625,4334.324198500917,4797.273806028414,4615.772912891622,4586.678135798462,4381.944947553007,3845.215974726159,3902.222337353935,3913.354301533844,3754.227522625793,3872.788759109753,3975.8763092516124
1475,4400.507735635954,3985.300889573753,3965.7533514143147,4327.33007617733,4789.715907863267,4608.929264459682,4580.519138573322,4375.514692400281,3838.296170854203,3896.4650993679656,3906.8358654805793,3748.1607182815997,3866.621531479798,3969.6062362910357
1476,4393.92417781369,3978.9178398421504,3959.118643482979,4321.063165313732,4782.421886535765,4601.248799751702,4574.294355390582,4369.508365075262,3832.839321218638,3890.5720919545324,3900.9130469894567,3742.611226472681,3860.685081081086,3963.282123492412
1477,4386.750874844011,3972.6912390687885,3952.182874245443,4314.397704266672,4775.678231612761,4593.21778226457,4566.9333724201115,4362.6955531912645,3826.863227870893,3882.690141547625,3894.5796953184717,3736.472579564507,3854.5424457596596,3956.6799555556886
1478,4380.267668425977,3966.12195936083,3946.1329212239934,4306.850783385295,4769.377558584605,4586.215286669084,4559.022178938193,4356.0890464116355,3820.5154899097056,3875.9311679959746,3887.9669606903035,3729.6908140410505,3848.5207134406014,3950.0271777118237
1479,4373.947909810246,3959.3573499558747,3939.9106428478276,4299.5227161192915,4762.696375982228,4579.531361872472,4552.138537628523,4349.983338659392,3814.2095535153053,3870.752647922442,3881.0497238608305,3722.283564365146,3842.2583244115212,3943.870877148433
1480,4367.231562070423,3952.8422277943373,3933.677598996468,4292.582808352189,4755.720051108225,4573.035190834798,4545.627585005516,4343.506570140461,3807.4694729706544,3864.1707725622355,3874.2740259887673,3715.4150507779345,3835.768954977643,3937.6812362443497
1481,4360.782841034745,3947.1433575466554,3927.765283775621,4286.860247363258,4748.672451075726,4566.213735990443,4539.864015684621,4337.343404206013,3801.7050468774464,3859.27543045421,3868.803914304049,3710.5252388529652,3830.9235034251205,3931.900635220346
1482,4353.996945193076,3941.160853870751,3921.6653363644855,4281.071233221978,4741.892399586094,4558.799589405883,4533.369602987641,4331.502817147857,3796.541569868142,3853.0589122689516,3863.5043036182446,3705.3675447180335,3825.3836778428977,3925.7539444749254
1483,4347.26324549395,3935.0000003510004,3914.9883878795945,4274.16516907522,4735.288165958745,4550.926450931636,4525.8604046468945,4325.033967369935,3790.550976149531,3846.5589002209554,3856.741862514362,3699.079375296402,3819.3711186706346,3918.768204541588
1484,4341.133615866368,3929.016503363923,3909.0393408434666,4267.554766677893,4729.409904714821,4544.856893838093,4518.620314529466,4319.02846521982,3784.3368793525606,3841.076218092651,3850.765013993914,3692.3573380546845,3813.8552631955977,3912.5136571851067
1485,4334.803243372773,3922.4691642880043,3902.644133730904,4260.591018512214,4722.988863504009,4538.805549716502,4512.009939697438,4312.820148231099,3778.3422826081287,3834.5540356487845,3843.910810972259,3685.369005802323,3807.6718738486534,3906.791795375448
1486,4328.214805146997,3916.2264179053923,3896.4822715802698,4253.687088752014,4715.760078267425,4532.231958208432,4505.581969644745,4306.498468978231,3772.06111654419,3829.307331502087,3837.283660993634,3679.5870150076516,3801.706490484328,3900.8679813260187
1487,4321.421153708002,3909.5230928844962,3889.972032535404,4246.970036768993,4708.425597543188,4524.599926976362,4499.400485285927,4299.794533055905,3765.8301401712565,3822.718253807098,3831.269028141475,3674.090526873333,3795.449995522123,3894.4537720395647
1488,4314.278134383369,3903.2842142838736,3883.716848265309,4240.848108513727,4701.728296565868,4516.9343233474,4492.609068470056,4293.927299237984,3759.7864085220926,3816.7414169236727,3825.8837850387,3668.2901244083328,3789.659984577377,3887.9636079194806
1489,4307.739226582501,3897.0021474640016,3877.537237301991,4233.875766550455,4695.176813599725,4509.440515108506,4485.14696944813,4287.57411255547,3753.424976959562,3810.0361617315993,3819.329838359816,3661.400116216831,3784.1702176667072,3881.367097824993
1490,4301.927077781215,3890.8056094520853,3871.161016967932,4227.298713494345,4689.173362608579,4503.214442115392,4478.255295892401,4281.5196923643,3748.072435977579,3803.9589815004706,3812.5733719532705,3654.273670944921,3778.6791941100632,3875.2592089152
1491,4295.43297924272,3884.2098456993194,3864.624132466038,4220.071760366897,4682.298982715063,4496.720945442222,4471.715401246197,4274.929761445677,3741.8922644348277,3798.520564058013,3805.7407494927807,3647.4050555858657,3772.070548382558,3869.1159160911598
1492,4288.545243458661,3878.1090742575548,3858.799112584047,4212.868560013182,4675.026048686344,4489.83277264735,4465.428734281772,4268.328184427517,3734.652488649569,3791.9838312621264,3799.304825713311,3641.976872086386,3765.9674767041333,3863.1008595983712
1493,4281.248633719039,3871.592878085776,3852.5555603461917,4206.147839359029,4667.830935040222,4482.388421758908,4458.440134682856,4261.871898796252,3728.4302396109165,3784.594579719644,3793.439058862147,3636.5119597310045,3759.9919862732204,3856.8077034593084
