time (min),male1,male2,male3,male4,male5,male6
10374,34366.175800781,43848.96058774037,15126.057032842404,55289.80204313387,31807.68482759905,41568.23502858553
10375,34371.01716249419,43863.087709285195,15125.947576779385,55305.999953939085,31811.845574054812,41572.90689019571
10376,34375.84176425985,43877.19295666613,15125.841755260817,55322.15448285318,31816.02245035886,41577.574993170376
10377,34380.64961630786,43891.27634456649,15125.739579272826,55338.2655977396,31820.21543650983,41582.23929605096
10378,34385.440728857124,43905.337887779475,15125.641059791065,55354.333266829766,31824.424512381436,41586.899757476465
10379,34390.21511211546,43919.377601207816,15125.546207780393,55370.35745872371,31828.649657722457,41591.55633618427
10380,34394.97277627942,43933.39549986341,15125.455034194854,55386.33814238909,31832.890852156623,41596.20899100989
10381,34399.71373153448,43947.391598867165,15125.36754997732,55402.27528716155,31837.148075182824,41600.85768088713
10382,34404.437988054655,43961.3659134485,15125.283766059372,55418.16886274408,31841.421306174776,41605.50236484824
10383,34409.145556002564,43975.31845894531,15125.203693361149,55434.01883920711,31845.71052438131,41610.143002023935
10384,34413.83644552928,43989.249250803194,15125.12734279106,55449.82518698818,31850.015708926185,41614.77955164381
10385,34418.51066677433,44003.15830457565,15125.054725245689,55465.5878768917,31854.336838808096,41619.41197303604
10386,34423.16822986552,44017.04563592331,15124.985851609543,55481.306880088654,31858.673892900762,41624.04022562769
10387,34427.80914491884,44030.91126061386,15124.92073275484,55496.98216811654,31863.026849952803,41628.66426894483
10388,34432.433422038295,44044.7551945216,15124.85937954143,55512.613712878854,31867.39568858781,41633.284062612634
10389,34437.04107131622,44058.57745362734,15124.801802816442,55528.201486645325,31871.78038730422,41637.89956635538
10390,34441.632102832664,44072.37805401757,15124.748013414273,55543.74546205089,31876.180924475477,41642.51073999674
10391,34446.20652665554,44086.15701188486,15124.698022156199,55559.2456120962,31880.59727834988,41647.117543459586
10392,34450.76435284062,44099.91434352674,15124.65183985034,55574.70191014697,31885.029427050707,41651.71993676642
10393,34455.305591431345,44113.65006534604,15124.609477291422,55590.114329933785,31889.477348576078,41656.31788003927
10394,34459.83025245866,44127.364193850124,15124.570945260555,55605.48284555171,31893.941020799037,41660.91133349977
10395,34464.33834594111,44141.05674565067,15124.536254525046,55620.80743146033,31898.42042146753,41665.50025746932
10396,34468.829881884696,44154.7277374634,15124.50541583827,55636.08806248298,31902.915528204358,41670.08461236918
10397,34473.304870282576,44168.37718610762,15124.47843993938,55651.324713807015,31907.426318507252,41674.664358720576
10398,34477.76332111528,44182.00510850614,15124.455337553236,55666.51736098298,31911.952769748812,41679.23945714458
10399,34482.20524435051,44195.61152168454,15124.436119390068,55681.665979924735,31916.494859176582,41683.80986836248
10400,34486.63064994294,44209.19644277106,15124.420796145427,55696.77054690884,31921.05256391294,41688.3755531957
10401,34491.03954783434,44222.75988899639,15124.409378499908,55711.83103857455,31925.62586095518,41692.936472565954
10402,34495.43194795328,44236.30187769286,15124.40187711894,55726.84743192314,31930.2147271755,41697.492587495246
10403,34499.80786021518,44249.82242629471,15124.39830265266,55741.81970431781,31934.81913932095,41702.04385910587
10404,34504.16729452221,44263.321552337125,15124.398665735758,55756.74783348346,31939.43907401359,41706.590248620865
10405,34508.51026076309,44276.79927345642,15124.402976987143,55771.63179750603,31944.07450775025,41711.131717363576
10406,34512.836768813126,44290.255607389256,15124.411247009848,55786.47157483252,31948.725416902795,41715.668226758076
10407,34517.14682853413,44303.690571972606,15124.423486390851,55801.26714427032,31953.39177771794,41720.199738329095
10408,34521.4404497743,44317.104185143166,15124.439705700835,55816.01848498721,31958.07356631735,41724.72621370216
10409,34525.717642368,44330.49646493717,15124.459915494028,55830.72557651062,31962.770758697672,41729.24761460352
10410,34529.978416135964,44343.86742948994,15124.484126308009,55845.38839872769,31967.483330730374,41733.763902860446
