time (min),male1,male2,male3,male4,male5,male6
961,46,0,33,27,0,0
962,72,10,16,26,10,0
963,13,11,12,0,0,28
964,31,1,31,0,0,31
965,60,0,22,41,0,11
966,65,0,0,59,27,0
967,64,0,5,0,0,7
968,66,0,80,0,2,0
969,16,0,0,0,0,0
970,88,0,0,1,0,0
971,33,0,0,3,0,0
972,46,0,0,0,0,0
973,55,0,15,0,0,0
974,18,0,0,8,0,0
975,0,0,0,4,0,0
976,15,0,0,0,0,0
977,29,0,0,0,0,0
978,0,0,0,0,3,0
979,33,0,0,0,0,0
980,3,0,0,0,0,0
981,14,0,0,0,12,14
982,0,0,0,0,0,0
983,0,0,0,0,0,2
984,0,15,0,0,0,0
985,0,0,21,0,0,5
986,0,0,0,0,0,5
987,0,5,0,0,0,0
988,28,12,0,0,0,6
989,42,0,0,0,0,0
990,20,0,11,0,0,0
991,36,6,0,0,0,5
992,9,0,0,0,0,9
