time (min),male1,male2,male3,male4,male5,male6
122,12646.768960466525,13646.819862461705,12831.55256369147,12681.464891376361,12302.087604145787,13469.26298269605
123,12651.99077035496,13646.71263196186,12832.073151413819,12678.202837395975,12299.577731984768,13466.061895488003
124,12652.8424260236,13648.11334289389,12830.420066459452,12678.669724818883,12299.076851244337,13466.52336559662
125,12646.905978641904,13648.053753831899,12826.977254659676,12683.139199189402,12298.135342923377,13467.170460312676
126,12636.911117478207,13644.632533777705,12826.353145886766,12686.468712798795,12296.961143776092,13465.384285877617
127,12635.060472680476,13643.198406998396,12823.324322525876,12683.39473136854,12297.626077105337,13466.824007138914
128,12642.827083355021,13641.763043910101,12825.51179227285,12672.99334317018,12294.551878459584,13466.289714239801
129,12646.674130563715,13642.124135739556,12822.688191424277,12671.090922557507,12292.673591466912,13462.178372772298
130,12643.169032499067,13643.638585022067,12824.250501721746,12673.35898452468,12291.933079006958,13462.976607816461
131,12637.089870037911,13642.489515124213,12821.432467393806,12677.065266532016,12291.124122808646,13462.226830932934
132,12631.17361618412,13639.146401985328,12819.387343084263,12675.606938504967,12289.187188118136,13462.790219125576
133,12631.166190559416,13636.97547845112,12819.12771753598,12670.950399289617,12288.469548201225,13463.361760530737
134,12637.676945077834,13637.103900593997,12818.431742123686,12664.597393341259,12286.796921720399,13460.72789789864
135,12640.202686536883,13638.427891174148,12817.546691858422,12663.977882186742,12285.857729123316,13458.687709501855
136,12636.089757278412,13639.136342066246,12815.523246273577,12667.791551712631,12285.07560609886,13458.462949353961
137,12626.611316501658,13635.37897753339,12814.897307754762,12668.211704554642,12282.796960300806,13458.631548009313
138,12621.838337456336,13632.36227068918,12811.488874269295,12666.379780315776,12281.303618442571,13458.821396551195
139,12626.284041941091,13630.799600020948,12812.177115081777,12661.650969483751,12279.883184095494,13457.786669350293
140,12630.926804141782,13631.248434789059,12809.898119702708,12656.607689165598,12279.346520820587,13455.060870871723
141,12630.78827516135,13633.372770611073,12810.158597383494,12656.856337175168,12278.325165222535,13453.995695468191
142,12626.028033762681,13632.793979872098,12809.461057922766,12660.189205685027,12276.440757432398,13453.773993785428
143,12617.373159478146,13627.733771499876,12807.340172574593,12657.641579221092,12273.292522854996,13453.646556181728
144,12615.365730953958,13625.256911011775,12804.099396596106,12655.176419923973,12271.515786865586,13454.47871302954
145,12621.011056994696,13624.900547089408,12803.945584094627,12650.840953998226,12272.566389869424,13451.806875409071
146,12623.485976106993,13625.16776332635,12802.108672723169,12648.080222874623,12272.350159973179,13448.470240203611
147,12621.328537421852,13627.043410452517,12801.777755093664,12649.640053225285,12270.49168606951,13447.761967883744
148,12615.456519561458,13624.955945960295,12803.214411547275,12648.734877280926,12265.242314848267,13448.786960979462
149,12607.355753802663,13620.501374539746,12799.170736513206,12646.818795501136,12263.220300383819,13449.82839300662
150,12608.410948112676,13618.042856339975,12797.118571130124,12647.188469330049,12261.81181730775,13448.32593700151
151,12613.539503753242,13618.206059218133,12794.473024359335,12641.798783557715,12263.608287232568,13446.184519796516
152,12615.192290823032,13619.683100410377,12794.943280975289,12640.375995876931,12262.897699884054,13442.505218585893
153,12612.322412465926,13620.372385674764,12792.483839373423,12640.786933533973,12261.673310162605,13443.140440841848
154,12604.251501081662,13616.218266047732,12793.864044288775,12636.692976948527,12255.700425555873,13444.076616501212
155,12597.981016913347,13611.328088948065,12788.685486117023,12634.866560456478,12253.717818471541,13442.426434112806
156,12599.09020763989,13610.055499936776,12787.209344739742,12635.021159032643,12253.921754927294,13442.15051491494
157,12603.400223006332,13610.926363668872,12784.352299517584,12631.332617087812,12254.292065179296,13437.577621031602
158,12605.69753866049,13612.595524263492,12786.374008143754,12629.713418335221,12251.406160439628,13437.06700014689
159,12602.256952584796,13611.648167979403,12787.065557249962,12627.64817124591,12248.327912876417,13437.263869719089
160,12593.319685375027,13606.982879266401,12785.11763796079,12625.18639250452,12245.415398269895,13438.429361647539
161,12590.261707565389,13602.480451137983,12781.011809683498,12625.894307055047,12242.458715764991,13434.894766488145
162,12592.849722887395,13602.451888183658,12777.432190891468,12625.272889626352,12244.246133056302,13433.91478994757
163,12596.411135292625,13604.032792439119,12776.49822299516,12623.11446555352,12245.498774622583,13432.155157164927
164,12595.740477734296,13604.669171871845,12775.865226482778,12619.48984277333,12242.960979058666,13429.471786994296
165,12587.579829451799,13602.224551215395,12778.061140664824,12615.564909039918,12236.286859562593,13431.157798737931
166,12580.99927338381,13597.076534245867,12773.395475406865,12613.342652932906,12234.01764350435,13428.86076583888
167,12579.812031292042,13594.349821184593,12770.766139275662,12616.130913082325,12233.13795626776,13429.049864121578
168,12581.679566434203,13595.90229434166,12765.79245326287,12614.41820717097,12236.407713814237,13426.271209346542
169,12586.0178128864,13595.316918386225,12767.422059698814,12610.120888707579,12234.95905938445,13424.40027932595
170,12584.619765362884,13595.65641571561,12768.330187917767,12605.284541175964,12230.33677419717,13423.53417549711
171,12577.56302330942,13592.942409883508,12766.502174473835,12603.984745312828,12225.316740500588,13422.69283100469
172,12570.934167208628,13586.878348194232,12763.028159932157,12604.281685357164,12222.075491209684,13421.95994891829
173,12568.39856384232,13585.70234583482,12758.765825232334,12604.736437748794,12221.704137755158,13419.97140782944
174,12572.863316496361,13586.888795077744,12756.632369026369,12603.748128620764,12224.904018440031,13418.546598089128
175,12576.089513019304,13586.796062658706,12756.795971427722,12596.249404295928,12223.193332887697,13415.152793337194
176,12570.901118363552,13586.219812934643,12758.883576034337,12591.899491086931,12217.115916891871,13416.549984582876
177,12564.370885693446,13581.137608401847,12756.67202152768,12590.930398349554,12213.347985780149,13414.35806570033
178,12558.031459935479,13576.740662702763,12751.754227884929,12592.465009994268,12211.807074509214,13413.068354117604
179,12557.823157802108,13577.93669483149,12745.52748803855,12593.299522669908,12212.4747322473,13410.768367710029
180,12564.952841570212,13577.435562139484,12745.150760344592,12590.859254035218,12214.346814466782,13409.816215521667
181,12564.893735243446,13576.339839241115,12748.637964180169,12582.098035375451,12210.493843331931,13407.039746955406
182,12559.03209793263,13575.496611519393,12746.712091197072,12580.206902319818,12204.421248230447,13405.913762406779
183,12552.594003351065,13569.978372120859,12744.437614962515,12579.386874658267,12201.490078931007,13405.843851789226
184,12546.452080920608,13566.966280128489,12738.799699145797,12580.889634016925,12199.758206009328,13403.661526796777
185,12547.922826095826,13567.977999547264,12734.188781089902,12582.92649491131,12201.622107034751,13404.447763537908
186,12554.233660282056,13566.465842194315,12735.598703066258,12574.978463265772,12201.073199474098,13398.760415877072
187,12551.016184245616,13566.214978381495,12736.260458989063,12567.384632294457,12195.741371203056,13399.232259268347
188,12546.349882091594,13562.46124685052,12737.347649808851,12567.752203706155,12190.959194381003,13396.87483518222
189,12537.057093789586,13558.471761772254,12729.90566170765,12567.206300969674,12188.51112539726,13397.302237478823
190,12531.743215431381,13558.223128673328,12725.993202313783,12568.783700352664,12188.432404489307,13394.328036745157
191,12538.758564471855,13556.907890681761,12723.223495759332,12568.780982788758,12190.497289405064,13392.853605898674
192,12542.457478560793,13555.146207076368,12723.693819877028,12556.501439603144,12188.1211171585,13388.986795009745
193,12538.808573687133,13554.443324296224,12725.659108030255,12552.708938017826,12182.099130225724,13387.118284424754
194,12532.608105461484,13549.699355430483,12722.827462970943,12553.724616222891,12177.017252205831,13387.943653391038
195,12522.836285714202,13547.265775893153,12718.070996735272,12555.099578886966,12175.170960127414,13385.838452283515
196,12520.685899198821,13547.500455635778,12712.398327127039,12557.681135341156,12175.872205356049,13387.83042151735
197,12527.5154971792,13544.86462220544,12711.661109195913,12552.862808710777,12177.282144790359,13382.263367060477
198,12527.44888108508,13543.615830905754,12711.532443305701,12541.927932535076,12173.576780015299,13382.336395559312
199,12524.976001546609,13541.184167327823,12713.269094616668,12538.736532837376,12168.292413740432,13374.764857749697
200,12514.627972569731,13539.055222650199,12708.844463485704,12540.220071743159,12164.409835856612,13377.590599206856
201,12507.767220098678,13537.045515362066,12702.690716195239,12543.320278029307,12163.198664469228,13375.364183002188
202,12512.274959756389,13534.871853101115,12699.44426229542,12543.218533141922,12163.056541229229,13374.81712315104
203,12517.120263553192,13531.912402475939,12698.894429062197,12534.388277878916,12162.436870955844,13370.100654488631
204,12515.84786266454,13531.162333954455,12701.302081457485,12527.285708204097,12157.92114765965,13368.725699342642
205,12511.352291207197,13528.559548088559,12699.868253031927,12525.11807448915,12153.354257603036,13367.134262253318
206,12499.8238958217,13527.023576833211,12694.271341830257,12526.26669075246,12149.004483005185,13365.259450727921
207,12493.028681374128,13525.334641480165,12687.916329067373,12529.675542024977,12149.174858997705,13367.67663781699
208,12498.930080172344,13520.562405793897,12687.063296315075,12525.34907565657,12149.200533378875,13361.93917481381
209,12500.910710200165,13518.604055786202,12686.009326292757,12515.235532361123,12147.749523273296,13360.228263556182
210,12499.297873723865,13516.014520795165,12687.479462251204,12511.87825497416,12143.228225282846,13354.624563683064
211,12492.176512262058,13515.27050203805,12683.18884177273,12513.742296089958,12139.651148701914,13357.328511985621
212,12484.193352667027,13514.906932705751,12679.61035826774,12514.813397138883,12136.627844840064,13356.378321129472
213,12483.074521535667,13511.242031707872,12673.953974291631,12513.784956813479,12135.758926505585,13355.730757606387
214,12487.448847250978,13507.72811728487,12673.516239966926,12507.359077074787,12134.062527189464,13349.466716753801
215,12489.813340444405,13506.469006106603,12672.818825333585,12498.821786408347,12132.606817337642,13345.087315934035
216,12486.289639074193,13503.58964391018,12672.568603949794,12495.611007462401,12126.863090512012,13342.914029141295
217,12474.679982420801,13502.861801460007,12668.650442140737,12499.432820886299,12122.336714101808,13342.689904631867
218,12466.168549396969,13501.26762498686,12663.503746771226,12500.340085368698,12122.2443309488,13345.541313665679
219,12468.717070992467,13496.174960643015,12661.808111022872,12495.39899901625,12120.470836218545,13341.23264430485
220,12473.443817663321,13492.64422183083,12658.254685729302,12489.140906181214,12118.721977316241,13338.523997214394
221,12474.248018151851,13489.529964285352,12658.931830694648,12483.057338835913,12116.993414475297,13333.132216247392
222,12468.002373288324,13489.183340846224,12657.456289843029,12479.93990077376,12111.527282450012,13332.028786581124
223,12458.799515843773,13489.646073135176,12653.00179441942,12483.909930191427,12108.317358913453,13333.41699232401
224,12453.14093604993,13487.063522073428,12646.357367769173,12483.952332012394,12106.385881069282,13332.096830864017
225,12456.075887794976,13482.27978674122,12646.477970533013,12477.6839888327,12104.600046354208,13326.904618066545
226,12459.62604206347,13478.513857474407,12644.142407069585,12470.314303144933,12103.673648276277,13321.887459101485
227,12457.262999949724,13476.615085640997,12642.924739151762,12464.696993843312,12100.950328905988,13320.057455705395
228,12448.633447352378,13476.795464801866,12639.821393514007,12465.703595266805,12094.14921607441,13319.684539191087
229,12440.332376467057,13475.530316977502,12637.333820024649,12467.08880044776,12092.823552309499,13320.046109327242
230,12438.094391670184,13470.231570313974,12634.217231869003,12465.265551860355,12088.381128048812,13320.069688870804
231,12442.437312998842,13465.813117978269,12629.445513961537,12459.402836530724,12088.083782155181,13312.386572861495
232,12444.497113466636,13461.169112780755,12630.690650430724,12452.034739993023,12086.310818302967,13308.433038143681
233,12438.137331381238,13461.157789713347,12627.06795211032,12447.830188798185,12082.54010711387,13308.034177510388
234,12431.064578965235,13461.779847133674,12623.461645730062,12451.236482718476,12077.641968538386,13308.51669290304
235,12423.489209941217,13461.283972207999,12619.701666044502,12450.654962818058,12075.76841182458,13307.791768529694
236,12422.716810253714,13456.743665824963,12617.590258674776,12447.10217519219,12073.328477021212,13304.335169891106
237,12427.680381705526,13450.28386871765,12615.303267467727,12439.662394576239,12072.90271753728,13297.283541845794
238,12427.748723480374,13447.378156870322,12612.712755814799,12433.749910614237,12070.890968105923,13293.399795157045
239,12420.618152734016,13448.123733216808,12610.41249025139,12434.285619968,12065.269732657862,13294.206145102771
240,12413.181101457802,13446.50870175297,12609.240308261335,12434.294415698472,12062.340047083791,13294.093184432026
241,12407.339546708548,13442.059708460149,12603.89701576531,12432.889503178003,12058.650645984288,13294.224945423348
242,12409.020367022757,13437.619871883233,12600.285202954676,12427.451588084641,12056.235725878341,13287.557654543114
243,12411.580994900316,13432.572042252586,12600.261252961916,12420.882084680372,12055.64958471316,13281.348152901159
244,12407.297095185453,13431.35965965875,12595.589590320355,12416.803650273256,12051.953660720203,13282.45253264692
245,12401.812713867048,13431.49718541332,12592.619006553026,12415.444604717057,12046.247267824423,13281.904408204065
246,12392.319280886146,13431.183892683124,12591.219567388003,12415.298996482812,12043.251901670244,13280.500541740508
247,12387.677170884052,13427.957103216417,12587.34796832332,12414.33535979497,12040.752063155864,13278.576027231333
248,12393.796088892717,13420.185932871891,12583.833048832506,12406.509465682053,12039.418593252629,13268.873969480923
