time (min),fem1,fem2,fem3,fem4,fem5,fem6,fem7,fem8,fem9,fem10,fem11,fem12,fem13,fem14
398,29,4,53,32,79,21,35,37,72,0,22,27,37,56
399,14,36,77,83,87,31,31,64,74,10,25,16,16,55
400,8,42,37,99,73,45,27,63,41,6,23,32,24,111
401,7,44,15,73,80,43,21,52,92,0,64,27,28,61
402,32,42,38,81,5,40,47,47,129,0,86,13,21,28
403,21,43,60,89,31,75,23,51,38,0,96,23,65,45
404,49,37,54,50,19,19,13,56,95,0,46,5,77,80
405,43,41,63,63,94,14,13,41,108,0,18,4,96,51
406,41,53,68,76,62,50,57,75,84,0,26,0,77,47
407,32,23,58,54,40,41,32,72,80,13,52,1,19,18
408,16,35,70,80,47,30,65,52,77,0,77,32,19,21
409,0,34,66,78,85,67,58,86,129,0,91,9,0,51
410,11,20,22,62,109,34,43,54,96,0,73,19,29,50
411,0,4,48,84,106,63,33,60,102,0,76,18,26,51
412,21,29,65,93,95,38,37,85,79,29,78,73,47,17
413,22,35,50,72,96,43,60,64,83,34,97,66,22,4
414,40,14,60,104,86,35,48,65,137.5826596,20,89,28,9,63
415,33,22,22,89,45,34,35,54,137.5826596,43,98,32,29,47
416,36,49,0,114.3688469,52,28,68,98,24,49,42,26,56,80
417,14,14,0,84,113,65,24,39,29,41,27,29,62,64
418,42,37,21,6,79,53,52,10,50,77,27,38,55,18
419,51,23,31,8,100,45,47,34,60,71,94,26,37,17
420,0,52,45,57,108,59,37,84,86,36,76,43,67,16
421,29,56,44,91,88,55,62,60,33,26,104,60,10,66
422,29,25,48,91,46,73,39,55,77,98,79,43,11,59
423,63,14,45,114.3688469,109,36,33,80,47,84,79,14,45,1
424,47,17,66,86,68,37,27,61,3,48,39,54,46,1
425,57,37,21,77,0,58,8,67,17,54,30,50,21,60
426,46,14,35,114.3688469,45,47,15,82,3,15,53,13,13,74
427,21,20,27,88,71,34,61,43,20,12,69,71,11,47
428,21,12,55,67,85,53,28,67,76,47,63,33,57,21
429,45,38,41,23,118,75,39,51,53,59,46,57,39,10
430,37,28,34,103,108,13,41,104,24,31,42,17,31,25
431,63,25,64,106,61,38,52,55,77,32,100,26,82,19
432,58,38,59,77,57,41,43,67,16,99,108,64,67,39
433,42,27,61,96,82,40,52,64,24,18,59,53,24,51
434,7,12,74,96,67,15,41,81,67,53,36,9,52,15
435,0,14,40,90,73,51,42,65,90,47,64,61,57,41
436,0,6,24,84,69,51,48,69,108,66,39,63,56,20
437,0,35,27,94,43,45,67,56,106,42,22,57,54,87
438,64,21,22,81,51,34,40,59,38,48,84,94,35,65
439,30,39,60,6,90,32,17,58,94,39,59,0,34,59
440,3,53,65,114.3688469,96,48,77,77,120,25,60,29,71,46
441,64,35,68,90,46,28,40,81,74,32,98,61,53,23
442,17,2,50,114.3688469,91,57,40,81,93,52,106,75,6,12
443,0,49,2,76,42,3,10,85,119,68,35,45,20,49
444,0,31,14,51,60,41,38,20,56,62,26,0,40,17
445,37,29,66,99,65,49,67,56,11,43,28,0,9,9
446,44,32,61,111,66,58,34,75,51,5,74,34,10,19
447,76,36,63,104,83,47,35,59,106,1,47,52,49,26
448,48,64,68,102,78,39,37,54,46,21,2,82,53,71
449,36,79.54686296,44,66,43,53,18,79,68,0,90,66,57,24
450,48,79.54686296,16,85,98,65,10,80,33,27,67,57,2,94
451,22,40,0,54,95,43,22,66,24,86,84,58,48,74
452,57,32,37,8,82,49,32,45,52,53,53,66,80,65
453,51,47,55,114,97,53,45,39,70,57,23,66,30,7
